year,r_d,r_e_c,r_e_nc,pi,f_c,f_nc,delta_equip,delta_struc,delta_rentres,delta_iprd,delta_ipsoft,delta_ipart,alpha_equip,alpha_struc,alpha_rentres,alpha_iprd,alpha_ipsoft,alpha_ipart,alpha_labor,p_project,p_firm
2014,0.044,0.058,0.050773926,0.024,0.32,0.29,0.091866067,0.020155714,0.026989619,0.127749031,0.305714534,0.097348487,0.11041771,0.10223862,0.022678385,0.032442731,0.030640357,0.012015826,0.628223199,0.2,0.1
2015,0.044,0.058,0.050773926,0.024,,,,,,,,,,,,,,,,,
2016,0.044,0.058,0.050773926,0.024,,,,,,,,,,,,,,,,,
2017,0.044,0.058,0.050773926,0.024,,,,,,,,,,,,,,,,,
2018,0.04782,0.06182,0.054593926,0.024,,,,,,,,,,,,,,,,,
2019,0.05204,0.06604,0.058813926,0.024,,,,,,,,,,,,,,,,,
2020,0.05447,0.06847,0.061243926,0.024,,,,,,,,,,,,,,,,,
2021,0.05579,0.06979,0.062563926,0.024,,,,,,,,,,,,,,,,,
2022,0.05657,0.07057,0.063343926,0.024,,,,,,,,,,,,,,,,,
2023,0.05669,0.07069,0.063463926,0.024,,,,,,,,,,,,,,,,,
2024,0.05669,0.07069,0.063463926,0.024,,,,,,,,,,,,,,,,,
2025,0.05669,0.07069,0.063463926,0.024,,,,,,,,,,,,,,,,,
2026,0.05669,0.07069,0.063463926,0.024,,,,,,,,,,,,,,,,,
2027,0.05669,0.07069,0.063463926,0.024,,,,,,,,,,,,,,,,,
